page_type,시도,시군구,읍면동,리,지역표시명,source_html,confidence,is_valid,validation_note
region,경기도,고양시,정발산동,,정발산동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\정발산동과외\index.html,high,true,정상
region,경기도,고양시,주교동,,주교동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\주교동과외\index.html,high,true,정상
region,경기도,고양시,주엽동,,주엽동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\주엽동과외\index.html,high,true,정상
region,경기도,고양시,지축동,,지축동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\지축동과외\index.html,high,true,정상
region,경기도,고양시,탄현동,,탄현동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\탄현동과외\index.html,high,true,정상
region,경기도,고양시,토당동,,토당동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\토당동과외\index.html,high,true,정상
region,경기도,고양시,풍동,,풍동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\풍동과외\index.html,high,true,정상
region,경기도,고양시,행신동,,행신동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\행신동과외\index.html,high,true,정상
region,경기도,고양시,향동동,,향동동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\향동동과외\index.html,high,true,정상
region,경기도,고양시,화전동,,화전동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\화전동과외\index.html,high,true,정상
region,경기도,과천시,,,과천시,C:\Users\user\Documents\GitHub\studynavi\경기과외\과천시과외\index.html,high,true,정상
region,경기도,과천시,갈현동,,갈현동,C:\Users\user\Documents\GitHub\studynavi\경기과외\과천시과외\경기갈현동과외\index.html,high,true,정상
region,경기도,과천시,중앙동,,중앙동,C:\Users\user\Documents\GitHub\studynavi\경기과외\과천시과외\경기중앙동과외\index.html,high,true,정상
region,경기도,과천시,과천시수학,,과천시수학,C:\Users\user\Documents\GitHub\studynavi\경기과외\과천시과외\과천시수학과외\index.html,high,true,정상
region,경기도,과천시,과천시영어,,과천시영어,C:\Users\user\Documents\GitHub\studynavi\경기과외\과천시과외\과천시영어과외\index.html,high,true,정상
region,경기도,과천시,별양동,,별양동,C:\Users\user\Documents\GitHub\studynavi\경기과외\과천시과외\별양동과외\index.html,high,true,정상
region,경기도,광명시,,,광명시,C:\Users\user\Documents\GitHub\studynavi\경기과외\광명시과외\index.html,high,true,정상
region,경기도,광명시,광명동,,광명동,C:\Users\user\Documents\GitHub\studynavi\경기과외\광명시과외\광명동과외\index.html,high,true,정상
region,경기도,광명시,광명시수학,,광명시수학,C:\Users\user\Documents\GitHub\studynavi\경기과외\광명시과외\광명시수학과외\index.html,high,true,정상
region,경기도,광명시,광명시영어,,광명시영어,C:\Users\user\Documents\GitHub\studynavi\경기과외\광명시과외\광명시영어과외\index.html,high,true,정상
region,경기도,광명시,소하동,,소하동,C:\Users\user\Documents\GitHub\studynavi\경기과외\광명시과외\소하동과외\index.html,high,true,정상
region,경기도,광명시,일직동,,일직동,C:\Users\user\Documents\GitHub\studynavi\경기과외\광명시과외\일직동과외\index.html,high,true,정상
region,경기도,광명시,철산동,,철산동,C:\Users\user\Documents\GitHub\studynavi\경기과외\광명시과외\철산동과외\index.html,high,true,정상
region,경기도,광명시,하안동,,하안동,C:\Users\user\Documents\GitHub\studynavi\경기과외\광명시과외\하안동과외\index.html,high,true,정상
region,경기도,광주시,,,광주시,C:\Users\user\Documents\GitHub\studynavi\경기과외\광주시과외\index.html,high,true,정상
region,경기도,광주시,신현동,,신현동,C:\Users\user\Documents\GitHub\studynavi\경기과외\광주시과외\경기신현동과외\index.html,high,true,정상
region,경기도,광주시,태전동,,태전동,C:\Users\user\Documents\GitHub\studynavi\경기과외\광주시과외\경기태전동과외\index.html,high,true,정상
region,경기도,광주시,경안동,,경안동,C:\Users\user\Documents\GitHub\studynavi\경기과외\광주시과외\경안동과외\index.html,high,true,정상
region,경기도,광주시,광주시송정동,,광주시송정동,C:\Users\user\Documents\GitHub\studynavi\경기과외\광주시과외\광주시송정동과외\index.html,high,true,정상
region,경기도,광주시,광주시수학,,광주시수학,C:\Users\user\Documents\GitHub\studynavi\경기과외\광주시과외\광주시수학과외\index.html,high,true,정상
region,경기도,광주시,광주시영어,,광주시영어,C:\Users\user\Documents\GitHub\studynavi\경기과외\광주시과외\광주시영어과외\index.html,high,true,정상
region,경기도,광주시,광주시장지동,,광주시장지동,C:\Users\user\Documents\GitHub\studynavi\경기과외\광주시과외\광주시장지동과외\index.html,high,true,정상
region,경기도,광주시,역동,,역동,C:\Users\user\Documents\GitHub\studynavi\경기과외\광주시과외\역동과외\index.html,high,true,정상
region,경기도,광주시,탄벌동,,탄벌동,C:\Users\user\Documents\GitHub\studynavi\경기과외\광주시과외\탄벌동과외\index.html,high,true,정상
region,경기도,구리시,,,구리시,C:\Users\user\Documents\GitHub\studynavi\경기과외\구리시과외\index.html,high,true,정상
region,경기도,구리시,갈매동,,갈매동,C:\Users\user\Documents\GitHub\studynavi\경기과외\구리시과외\갈매동과외\index.html,high,true,정상
region,경기도,구리시,토평동,,토평동,C:\Users\user\Documents\GitHub\studynavi\경기과외\구리시과외\경기토평동과외\index.html,high,true,정상
region,경기도,구리시,교문동,,교문동,C:\Users\user\Documents\GitHub\studynavi\경기과외\구리시과외\교문동과외\index.html,high,true,정상
region,경기도,구리시,구리시수학,,구리시수학,C:\Users\user\Documents\GitHub\studynavi\경기과외\구리시과외\구리시수학과외\index.html,high,true,정상
region,경기도,구리시,구리시영어,,구리시영어,C:\Users\user\Documents\GitHub\studynavi\경기과외\구리시과외\구리시영어과외\index.html,high,true,정상
region,경기도,구리시,수택동,,수택동,C:\Users\user\Documents\GitHub\studynavi\경기과외\구리시과외\수택동과외\index.html,high,true,정상
region,경기도,구리시,인창동,,인창동,C:\Users\user\Documents\GitHub\studynavi\경기과외\구리시과외\인창동과외\index.html,high,true,정상
region,경기도,군포시,,,군포시,C:\Users\user\Documents\GitHub\studynavi\경기과외\군포시과외\index.html,high,true,정상
region,경기도,군포시,군포시당동,,군포시당동,C:\Users\user\Documents\GitHub\studynavi\경기과외\군포시과외\군포시당동과외\index.html,high,true,정상
region,경기도,군포시,군포시부곡동,,군포시부곡동,C:\Users\user\Documents\GitHub\studynavi\경기과외\군포시과외\군포시부곡동과외\index.html,high,true,정상
region,경기도,군포시,군포시수학,,군포시수학,C:\Users\user\Documents\GitHub\studynavi\경기과외\군포시과외\군포시수학과외\index.html,high,true,정상
